outlet_no,business_type,city,state,zip,store_location,avg_age,blue_collar,white_collar,female,male,total_household_size ,total_household_income,actual_credit_score,latitude,longitude,employee_size,total_sales
247,1,LIMA,OH,45804,TRAVEL/TRANSPORTATION/HOSPITALITY,44.01,43.68,35.41,53.37,46.63,2.24,63860000,80,40.704283,-84.147047,70,4070
253,4,VACAVILLE,CA,95687,AT-WORK,38.36,41.31,26.48,54,46,2.54,92764000,91,38.35486,-121.95036,35,4323
265,4,CINCINNATI,OH,45219,EDUCATIONAL,28.81,17.22,43.06,45.56,54.44,1.9,51027000,97,39.1361,-84.504288,13,2163
267,1,GLASGOW,KY,42141,AT-WORK,42.89,38.49,44,52.41,47.59,2.24,47119000,86,37.010838,-85.903418,3,528
276,1,BOWLING GREEN,KY,42101,EATING & DRINKING,38.82,60.82,26.24,54.18,45.82,1.93,47941000,78,36.964703,-86.436535,3,528
278,1,LANCASTER,OH,43130,AT-WORK,45.63,47.99,34.98,57.58,42.42,1.92,31183000,93,39.717362,-82.577969,3,499
285,1,HOUSTON,TX,77057,THIRD PARTY (NON-CONSUMER),33.96,22.42,44.74,50.76,49.24,1.58,74121000,85,29.749384,-95.483379,5,913
286,1,SPRINGFIELD,IL,62707,THIRD PARTY (NON-CONSUMER),41.98,51.17,33.53,49.04,50.96,2.57,62683000,88,39.839912,-89.560186,300,23943
293,1,RAPID CITY,SD,57702,AT-WORK,36.24,28.8,40.57,51.25,48.75,2.45,69174000,94,44.07905,-103.21564,3,474
294,1,FORT WORTH,TX,76119,AT-WORK,36.09,64.73,28.76,52.1,47.9,2.83,32741000,88,32.712976,-97.262614,5,913
307,1,LANCASTER,OH,43130,AT-WORK,47.46,27.82,41.9,53.27,46.73,2.26,81047000,100,39.723759,-82.582543,10,1189
310,1,LAREDO,TX,78041,AT-WORK,38.54,22.97,54.5,51.46,48.54,3.11,125861000,96,27.565351,-99.472443,40,3378
311,1,NEW YORK,NY,10032,EDUCATIONAL,36.39,43.84,36.12,48,52,2.95,39925000,93,40.84213,-73.942259,3,544
312,1,CHARLESTON,SC,29403,AT-WORK,29.15,35.95,38.65,53.9,46.1,1.91,44045000,100,32.78429,-79.950384,26,4961
320,1,PITTSBURGH,PA,15213,EDUCATIONAL,26.4,52.44,23.17,58.47,41.53,2.82,38365000,76,40.441947,-79.960521,11,1566
325,1,WEST VALLEY CITY,UT,84120,AT-WORK,28.59,67.24,25.41,48.94,51.06,3.9,44573000,85,40.698599,-111.987445,75,4730
331,1,CAYCE,SC,29033,AT-WORK,42.75,33.85,55.56,52.4,47.6,1.91,76751000,95,33.980842,-81.065783,9,1717
338,1,HOT SPRINGS NATIO,AR,71913,OTHER SHOPPING & SERVICES,48.79,37.43,43.78,54.32,45.68,1.68,36784000,80,34.468179,-93.069273,3,493
349,1,CANTON,MS,39046,AT-WORK,34.05,19.97,49.47,49.49,50.51,2.8,119028000,93,32.587514,-90.080998,11,1979
352,1,FORT WAYNE,IN,46805,OTHER SHOPPING & SERVICES,48.09,70.34,29.67,61.73,38.27,1.89,28942000,90,41.09347,-85.107984,7,1231
355,1,DU BOIS,PA,15801,TRAVEL/TRANSPORTATION/HOSPITALITY,36.5,61,34.44,52.91,47.09,2.05,28961000,91,41.11804,-78.76167,10,594
381,1,PITTSBURGH,PA,15212,THIRD PARTY (NON-CONSUMER),39.41,40.81,38.2,51.34,48.66,2.06,49317000,93,32.80841,-96.836798,3,548
384,1,CINCINNATI,OH,45219,AT-WORK,31.47,44.86,34.58,50.66,49.34,2.35,34902000,78,39.120163,-84.508879,12,2093
389,1,DAYTON,OH,45459,AT-WORK,40.95,34.29,46.5,53.49,46.51,2.04,63914000,75,39.652303,-84.114224,30,4052
393,1,MASON CITY,IA,50401,AT-WORK,36.59,38.79,52.09,48.67,51.33,2.32,56365000,90,43.149707,-93.260029,49,3517
397,1,WASHINGTON,PA,15301,AT-WORK,38.45,17.08,55.89,50.69,49.31,2.77,114541000,91,40.188005,-80.215344,35,3367
400,1,WASHINGTON,PA,15301,EATING & DRINKING,39.5,71.94,16.84,52.6,47.4,2.14,47306000,88,40.183887,-80.248125,500,71219
403,1,LAKE OSWEGO,OR,97035,AT-WORK,36.64,16.9,50.05,49.51,50.49,2.98,141521000,98,45.421319,-122.740398,20,3926
406,1,FORT WAYNE,IN,46845,AT-WORK,35.05,20.72,51.14,50,50,3.03,81782000,95,41.18841,-85.099327,3,527
410,1,HOT SPRINGS NATIO,AR,71913,AT-WORK,48.88,31.62,53.73,52.44,47.56,2.19,53158000,94,34.4634,-93.074197,3,493
415,1,FAYETTEVILLE,NC,28303,AT-WORK,40.73,28.27,45.13,55.75,44.25,2.16,74646000,85,35.011016,-78.963936,200,26397
424,1,SALT LAKE CITY,UT,84120,AT-WORK,28.59,67.24,25.41,48.94,51.06,3.9,44573000,81,40.69916,-111.990325,3,541
425,1,KNOXVILLE,TN,37920,AT-WORK,31.2,21.64,36.74,51.49,48.51,2.5,51977000,100,35.937271,-83.948577,10,1873
441,1,TURLOCK,CA,95380,AT-WORK,32.45,65.97,24.34,49.92,50.08,4.08,32825000,85,37.492252,-120.858578,93,7321
443,4,MCALLEN,TX,78501,AT-WORK,32.91,28.28,24.05,51.7,48.3,2.29,50768000,94,26.224895,-98.208254,11,2009
455,1,CENTERVILLE,OH,45459,THIRD PARTY (NON-CONSUMER),28.43,39.75,27.38,52.12,47.88,1.8,41321000,93,39.64358,-84.13904,200,11631
456,1,ROCHESTER,MN,55901,OTHER SHOPPING & SERVICES,47.5,38.51,45.07,62.21,37.79,1.82,45588000,100,44.064186,-92.493927,235,4640
469,1,OKLAHOMA CITY,OK,73162,THIRD PARTY (NON-CONSUMER),35.55,40.4,38.41,52.01,47.99,2.06,55962000,96,35.580553,-97.64786,14,811
477,1,GAUTIER,MS,39553,AT-WORK,34.84,61.88,17.2,52.59,47.41,2.61,52257000,88,30.414549,-88.651496,65,3961
479,1,DOYLESTOWN,PA,18901,AT-WORK,52.33,19.11,55.74,60.22,39.78,1.8,60042000,96,40.31974,-75.13397,201,4800
486,1,ATLANTA,GA,30329,THIRD PARTY (NON-CONSUMER),26.93,17.56,52.17,51.76,48.24,1.3,32375000,99,33.798466,-84.32584,1501,232757
494,1,MEADVILLE,PA,16335,THIRD PARTY (NON-CONSUMER),49.05,29.27,25.46,54.62,45.38,2.01,72934000,88,41.663548,-80.140866,390,10400
496,1,FORT MYERS,FL,33908,AT-WORK,77.34,0,100,63.55,36.45,1.47,72429000,95,26.518794,-81.997344,900,16960
497,1,ERIE,PA,16505,THIRD PARTY (NON-CONSUMER),40.85,19.76,69.38,50.83,49.17,2.3,61185000,95,42.089073,-80.173728,4,501
503,1,KNOXVILLE,TN,37920,THIRD PARTY (NON-CONSUMER),41.18,30.51,38.82,51.38,48.62,2.17,59289000,100,35.907021,-83.953506,10,1873
505,1,WASHINGTON,PA,15301,THIRD PARTY (NON-CONSUMER),39.5,71.94,16.84,52.6,47.4,2.14,47306000,94,40.179964,-80.246671,25,1485
506,1,BEAUMONT,TX,77706,THIRD PARTY (NON-CONSUMER),43.25,19.03,47,51.49,48.51,2.52,130777000,98,30.095915,-94.170921,40,7307
509,1,JACKSON,MS,39204,THIRD PARTY (NON-CONSUMER),36.67,41.27,45.53,54.7,45.3,3.01,64294000,95,32.283203,-90.253439,20,3598
516,1,MASON CITY,IA,50401,THIRD PARTY (NON-CONSUMER),42.46,53.61,22.86,50.59,49.41,2.22,47432000,100,43.13267,-93.218273,70,2368
518,1,CLARKSVILLE,AR,72830,AT-WORK,37.66,65.37,29.26,50.18,49.82,2.57,55669000,85,35.464349,-93.446082,3,493
519,1,BETHLEHEM,PA,18017,THIRD PARTY (NON-CONSUMER),62.34,31.17,44.72,61.98,38.02,1.33,29932000,81,40.642408,-75.408916,3,526
528,1,LAREDO,TX,78041,THIRD PARTY (NON-CONSUMER),36.21,22.97,59.52,51.06,48.94,2.65,99375000,96,27.564308,-99.500436,6,1096
530,1,HOUSTON,TX,77008,THIRD PARTY (NON-CONSUMER),42.73,38.31,43.33,50.55,49.45,1.77,78718000,91,29.811504,-95.430365,3,548
544,1,SAN ANTONIO,TX,78229,AT-WORK,31.54,26.47,42.81,52.77,47.23,1.57,40488000,94,29.511739,-98.586036,3,548
546,1,LAS VEGAS,NV,89128,THIRD PARTY (NON-CONSUMER),29.11,59.85,29.15,52.11,47.89,2.34,38053000,100,36.209855,-115.24698,62,11573
549,1,ATHENS,OH,45701,EATING & DRINKING,29.59,40.63,27.61,49.96,50.04,2.27,40115000,85,39.329449,-82.1175,50,2818
560,1,OKLAHOMA CITY,OK,73104,THIRD PARTY (NON-CONSUMER),37.51,35.09,30.83,50.47,49.53,1.87,40665000,91,35.482469,-97.497731,3,513
562,1,SAN ANTONIO,TX,78229,AT-WORK,31.54,26.47,42.81,52.77,47.23,1.57,40488000,92,29.51967,-98.575195,3,548
567,1,SAN ANTONIO,TX,78229,AT-WORK,36.7,16.51,45.24,49.39,50.61,1.79,51298000,86,29.506725,-98.570731,90,5745
574,1,CINCINNATI,OH,45219,THIRD PARTY (NON-CONSUMER),40.17,70.39,37.6,51.66,48.34,1.89,18692000,76,39.132163,-84.499551,11,1486
576,1,LANCASTER,OH,43130,AT-WORK,46.21,42.15,38.12,53.58,46.42,2.48,100289000,88,39.727573,-82.655435,240,6400
577,1,SAN LUIS OBISPO,CA,93405,AT-WORK,31.97,36.26,39.91,37.1,62.9,2.46,58826000,78,35.321395,-120.696271,14,2560
583,1,SEATTLE,WA,98166,AT-WORK,35.28,32.84,64.19,51.52,48.48,2.24,50965000,93,47.457414,-122.343206,3,583
590,1,SAN ANTONIO,TX,78229,AT-WORK,45.98,22.41,45.44,46.41,53.59,1.56,45403000,88,29.50737,-98.577917,5001,321475
592,1,MCALLEN,TX,78501,THIRD PARTY (NON-CONSUMER),38.8,63.64,34.55,55.12,44.88,3.14,29177000,95,26.207556,-98.214256,112,6929
593,1,BRADENTON,FL,34209,EATING & DRINKING,70.42,31.8,55.09,63.06,36.94,1.5,55164000,89,27.481855,-82.625374,15,1073
597,1,TINLEY PARK,IL,60477,THIRD PARTY (NON-CONSUMER),40.77,41.36,32.77,53.9,46.1,2.4,85244000,80,41.579994,-87.816089,7,1026
599,1,HUNTLEY,IL,60142,AT-WORK,29.53,27.56,54.45,50.18,49.82,3.4,104249000,86,42.16262,-88.395725,3,556
608,1,SYRACUSE,NY,13205,AT-WORK,61.28,30.31,41.5,55.39,44.61,1.21,23686000,85,43.002972,-76.126504,20,1859
611,4,WHEELWRIGHT,KY,41612,AT-WORK,39.2,55.38,17.74,62.54,37.46,2.32,28668000,85,37.354092,-82.71569,3,528
613,1,TOWSON,MD,21286,AT-WORK,50.03,21.67,43.55,55.75,44.25,1.49,74502000,99,39.401226,-76.596436,300,4800
619,1,YONKERS,NY,10701,THIRD PARTY (NON-CONSUMER),46.7,28.55,51.59,54.79,45.21,2.47,123651000,93,40.96822,-73.88499,3,544
624,1,ARDEN HILLS,MN,55112,OTHER SHOPPING & SERVICES,37.61,19.34,34.17,50.17,49.83,2.45,123214000,99,45.059653,-93.151238,100,16483
625,1,MEADVILLE,PA,16335,THIRD PARTY (NON-CONSUMER),39.71,42.45,34.03,51.95,48.05,2.26,52369000,76,41.62211,-80.20913,11,1566
627,1,FORT WAYNE,IN,46845,AT-WORK,35.05,20.72,51.14,50,50,3.03,81782000,81,41.185654,-85.098784,3,527
628,1,ATLANTA,GA,30329,AT-WORK,33.58,19.5,26.91,50.5,49.5,1.55,77880000,86,33.828041,-84.341078,6,841
630,1,SAN ANTONIO,TX,78201,EATING & DRINKING,38.05,59.44,40.56,53.92,46.08,2.52,40728000,81,29.484816,-98.543544,12,1779
631,1,MARION,IL,62959,THIRD PARTY (NON-CONSUMER),40.55,40.67,37.13,49.22,50.78,2.31,58764000,84,37.72305,-88.924988,4,478
633,1,LIVONIA,MI,48152,THIRD PARTY (NON-CONSUMER),43.04,36.75,39.78,50.77,49.23,2.53,47999000,78,42.43984,-83.334535,70,4397
635,1,COLORADO SPRINGS,CO,80920,THIRD PARTY (NON-CONSUMER),36.04,32.63,53.41,51.63,48.37,2.16,62166000,85,38.954343,-104.787023,35,5272
645,1,CURWENSVILLE,PA,16833,EATING & DRINKING,42.59,58.04,39.51,55.03,44.97,2.35,35426000,81,40.975901,-78.52542,8,1403
652,1,SAINT CHARLES,MO,63303,THIRD PARTY (NON-CONSUMER),38.02,31.01,44.57,50.94,49.06,2.4,83186000,82,38.756386,-90.546876,16,2148
